vulnerability_type,code,processed_code,language,target
Clear,"#include <iostream>
#include <memory>

void safe_memory_management() {
    auto ptr = std::make_unique<int>(42);
    std::cout << *ptr << std::endl;
}","#include <iostream>
#include <memory>

void safe_memory_management() {
    auto ptr = std::make_unique<int>(42);
    std::cout << *ptr << std::endl;
}",cpp,0
Clear,"from django.http import HttpResponse
from django.utils.html import escape

def safe_user_profile(request, username):
    safe_username = escape(username)
    return HttpResponse(f""Welcome, {safe_username}!"")","from django.http import HttpResponse
from django.utils.html import escape

def safe_user_profile(request, username):
    safe_username = escape(username)
    return HttpResponse(f""Welcome, {safe_username}!"")",python,0
Command Injection,"import java.io.BufferedReader;
import java.io.IOException;
import java.io.InputStreamReader;

public class CommandInjectionVulnerability {

    public static void main(String[] args) throws IOException {
        BufferedReader reader = new BufferedReader(new InputStreamReader(System.in));

        System.out.print(""Enter the IP address to ping: "");
        String ip = reader.readLine();

        String command = ""ping "" + ip;

        Process process = Runtime.getRuntime().exec(command);

        BufferedReader inputReader = new BufferedReader(new InputStreamReader(process.getInputStream()));
        String line;
        
        while ((line = inputReader.readLine()) != null) {
            System.out.println(line);
        }
    }
}","import java.io.BufferedReader; import java.io.IOException; import java.io.InputStreamReader; public class CommandInjectionVulnerability { public static void main(String[] args) throws IOException { BufferedReader reader = new BufferedReader(new InputStreamReader(System.in)); System.out.print(""Enter the IP address to ping: ""); String ip = reader.readLine(); String command = ""ping "" + ip; Process process = Runtime.getRuntime().exec(command); BufferedReader inputReader = new BufferedReader(new InputStreamReader(process.getInputStream())); String line; while ((line = inputReader.readLine()) != null) { System.out.println(line); } } }",java,1
Buffer Overflow,"#include <iostream>
#include <cstring>

void unsafe_c_string(char* input) {
    char buffer[100];
    strcpy(buffer, input); // potential buffer overflow
    std::cout << buffer << std::endl;
}","#include <iostream>
#include <cstring>

void unsafe_c_string(char* input) {
    char buffer[100];
    strcpy(buffer, input); // potential buffer overflow
    std::cout << buffer << std::endl;
}",cpp,1
Command Injection,"import java.io.*;

public class CommandInjectionExample {
    public static void main(String[] args) {
        try {
            BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
            System.out.print(""Enter a command to execute: "");
            String command = br.readLine();

            Process process = Runtime.getRuntime().exec(command);
            
            BufferedReader reader = new BufferedReader(new InputStreamReader(process.getInputStream()));
            String line;
            
            while ((line = reader.readLine()) != null) {
                System.out.println(line);
            }
        } catch (IOException e) {
            e.printStackTrace();
        }
    }
}","import java.io.*; public class CommandInjectionExample { public static void main(String[] args) { try { BufferedReader br = new BufferedReader(new InputStreamReader(System.in)); System.out.print(""Enter a command to execute: ""); String command = br.readLine(); Process process = Runtime.getRuntime().exec(command); BufferedReader reader = new BufferedReader(new InputStreamReader(process.getInputStream())); String line; while ((line = reader.readLine()) != null) { System.out.println(line); } } catch (IOException e) { e.printStackTrace(); } } }",java,1
Buffer Overflow,"char buffer[10]; scanf(""%s"", buffer);","char buffer[10]; scanf(""%s"", buffer);",c,1
Clear,"import java.util.Scanner;
import org.owasp.encoder.Encode;

public class XSSFixedCode {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);

        System.out.print(""Enter your name: "");
        String userInput = scanner.nextLine();

        // Sanitize user input using OWASP Encoder to prevent XSS attacks
        String sanitizedInput = Encode.forHtml(userInput);

        System.out.println(""Hello, "" + sanitizedInput + ""!"");
    }
}","import java.util.Scanner; import org.owasp.encoder.Encode; public class XSSFixedCode { public static void main(String[] args) { Scanner scanner = new Scanner(System.in); System.out.print(""Enter your name: ""); String userInput = scanner.nextLine(); // Sanitize user input using OWASP Encoder to prevent XSS attacks String sanitizedInput = Encode.forHtml(userInput); System.out.println(""Hello, "" + sanitizedInput + ""!""); } }",java,0
Out-of-Bounds,"#include <iostream>

class UnsafeClass {
    int data[10];
public:
    int get_data(int index) {
        return data[index]; // no bounds checking
    }
};","#include <iostream>

class UnsafeClass {
    int data[10];
public:
    int get_data(int index) {
        return data[index]; // no bounds checking
    }
};",cpp,1
Clear,"const userData = JSON.parse(userInput); // Safe JSON parsing
if (userData && typeof userData === 'object') {
    processUserData(userData);
}
","const userData = JSON.parse(userInput); // Safe JSON parsing
if (userData && typeof userData === 'object') {
    processUserData(userData);
}
",javascript,0
SQL Injection,"import mysql.connector
def search_products(category):
    db = mysql.connector.connect(host=""localhost"", user=""user"", password=""pass"", database=""shop"")
    cursor = db.cursor()
    cursor.execute(""SELECT * FROM products WHERE category = '%s'"" % category)
    return cursor.fetchall()","import mysql.connector
def search_products(category):
    db = mysql.connector.connect(host=""localhost"", user=""user"", password=""pass"", database=""shop"")
    cursor = db.cursor()
    cursor.execute(""SELECT * FROM products WHERE category = '%s'"" % category)
    return cursor.fetchall()",python,1
Clear,"from flask import Flask, request
import html
app = Flask(__name__)

@app.route('/search_safe')
def search_safe():
    query = request.args.get('q', '')
    safe_query = html.escape(query)
    return f'<h1>Search results for: {safe_query}</h1>'","from flask import Flask, request
import html
app = Flask(__name__)

@app.route('/search_safe')
def search_safe():
    query = request.args.get('q', '')
    safe_query = html.escape(query)
    return f'<h1>Search results for: {safe_query}</h1>'",python,0
SQL Injection,"<?php
$username = $_POST['username'];
$query = ""SELECT * FROM users WHERE username = '$username'"";
$result = mysql_query($query); // SQL Injection
?>","<?php
$username = $_POST['username'];
$query = ""SELECT * FROM users WHERE username = '$username'"";
$result = mysql_query($query); // SQL Injection
?>",php,1
Command Injection,"const shell = require('child_process');
shell.exec('ping ' + userInput); // Command Injection
","const shell = require('child_process');
shell.exec('ping ' + userInput); // Command Injection
",javascript,1
Clear,"#include <iostream>
#include <memory>

void safe_memory_management() {
    auto ptr = std::make_unique<int>(42);
    std::cout << *ptr << std::endl;
}","#include <iostream>
#include <memory>

void safe_memory_management() {
    auto ptr = std::make_unique<int>(42);
    std::cout << *ptr << std::endl;
}",cpp,0
Clear,"import java.util.Scanner;

public class SecureBufferExample {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        
        System.out.print(""Enter your name: "");
        String name = scanner.nextLine();
        
        // Validate input length to prevent buffer overflow
        if (name.length() > 10) {
            System.out.println(""Input exceeds maximum allowed length. Please enter a shorter name."");
            return;
        }
        
        char[] buffer = new char[10];
        name.getChars(0, Math.min(name.length(), buffer.length), buffer, 0);
        
        System.out.println(""Welcome, "" + new String(buffer));
    }
}","import java.util.Scanner; public class SecureBufferExample { public static void main(String[] args) { Scanner scanner = new Scanner(System.in); System.out.print(""Enter your name: ""); String name = scanner.nextLine(); // Validate input length to prevent buffer overflow if (name.length() > 10) { System.out.println(""Input exceeds maximum allowed length. Please enter a shorter name.""); return; } char[] buffer = new char[10]; name.getChars(0, Math.min(name.length(), buffer.length), buffer, 0); System.out.println(""Welcome, "" + new String(buffer)); } }",java,0
Cross-Site Scripting (XSS),"import java.io.IOException;
import javax.servlet.http.HttpServletRequest;
import javax.servlet.http.HttpServletResponse;

public class XSSVulnerableServlet extends HttpServlet {

    protected void doGet(HttpServletRequest request, HttpServletResponse response) throws ServletException, IOException {
        String userInput = request.getParameter(""input"");
        
        String htmlResponse = ""<html><body>User Input: "" + userInput + ""</body></html>"";
        
        response.getWriter().write(htmlResponse);
    }
}","import java.io.IOException; import javax.servlet.http.HttpServletRequest; import javax.servlet.http.HttpServletResponse; public class XSSVulnerableServlet extends HttpServlet { protected void doGet(HttpServletRequest request, HttpServletResponse response) throws ServletException, IOException { String userInput = request.getParameter(""input""); String htmlResponse = ""<html><body>User Input: "" + userInput + ""</body></html>""; response.getWriter().write(htmlResponse); } }",java,1
Out-of-Bounds,"#include <iostream>

class UnsafeClass {
    int data[10];
public:
    int get_data(int index) {
        return data[index]; // no bounds checking
    }
};","#include <iostream>

class UnsafeClass {
    int data[10];
public:
    int get_data(int index) {
        return data[index]; // no bounds checking
    }
};",cpp,1
Clear,"const userInput = new URLSearchParams(window.location.search).get('input');
const safeOutput = document.createElement('div');
safeOutput.textContent = userInput; // Safe DOM manipulation
document.body.appendChild(safeOutput);
","const userInput = new URLSearchParams(window.location.search).get('input');
const safeOutput = document.createElement('div');
safeOutput.textContent = userInput; // Safe DOM manipulation
document.body.appendChild(safeOutput);
",javascript,0
Clear,"import os
def get_database_config():
    return {
        'host': os.environ.get('DB_HOST'),
        'user': os.environ.get('DB_USER'),
        'password': os.environ.get('DB_PASSWORD')
    }","import os
def get_database_config():
    return {
        'host': os.environ.get('DB_HOST'),
        'user': os.environ.get('DB_USER'),
        'password': os.environ.get('DB_PASSWORD')
    }",python,0
Path Traversal,"import java.io.File;
import java.io.IOException;
import java.nio.file.Files;

public class PathTraversalVulnerability {

    public static void main(String[] args) {
        String userInput = ""../../../../../etc/passwd"";
        String directoryPath = ""/var/data/"";

        try {
            File file = new File(directoryPath + userInput);
            if (file.exists()) {
                byte[] fileContent = Files.readAllBytes(file.toPath());
                System.out.println(new String(fileContent));
            } else {
                System.out.println(""File not found"");
            }
        } catch (IOException e) {
            e.printStackTrace();
        }
    }
}","import java.io.File; import java.io.IOException; import java.nio.file.Files; public class PathTraversalVulnerability { public static void main(String[] args) { String userInput = ""../../../../../etc/passwd""; String directoryPath = ""/var/data/""; try { File file = new File(directoryPath + userInput); if (file.exists()) { byte[] fileContent = Files.readAllBytes(file.toPath()); System.out.println(new String(fileContent)); } else { System.out.println(""File not found""); } } catch (IOException e) { e.printStackTrace(); } } }",java,1
SQL Injection,"app.get('/user/:id', (req, res) => {
    const query = `SELECT * FROM users WHERE id = ${req.params.id}`; // SQL Injection
    db.query(query, (err, result) => {
        res.json(result);
    });
});
","app.get('/user/:id', (req, res) => {
    const query = `SELECT * FROM users WHERE id = ${req.params.id}`; // SQL Injection
    db.query(query, (err, result) => {
        res.json(result);
    });
});
",javascript,1
Clear,"#include <iostream>
#include <sstream>

int safe_string_to_int(const std::string& str) {
    std::stringstream ss(str);
    int value;
    if (ss >> value) {
        return value;
    }
    throw std::invalid_argument(""Invalid integer"");
}","#include <iostream>
#include <sstream>

int safe_string_to_int(const std::string& str) {
    std::stringstream ss(str);
    int value;
    if (ss >> value) {
        return value;
    }
    throw std::invalid_argument(""Invalid integer"");
}",cpp,0
Buffer Overflow,"char buffer[10]; scanf(""%s"", buffer);","char buffer[10]; scanf(""%s"", buffer);",c,1
Code Injection,"const userData = eval('(' + userInput + ')'); // eval injection
","const userData = eval('(' + userInput + ')'); // eval injection
",javascript,1
Memory Corruption,"#include <iostream>

void unsafe_virtual_call() {
    // Potential vtable corruption vulnerability
    class Base {
    public:
        virtual void func() { std::cout << ""Base"" << std::endl; }
    };
    
    class Derived : public Base {
    public:
        void func() override { std::cout << ""Derived"" << std::endl; }
    };
}","#include <iostream>

void unsafe_virtual_call() {
    // Potential vtable corruption vulnerability
    class Base {
    public:
        virtual void func() { std::cout << ""Base"" << std::endl; }
    };
    
    class Derived : public Base {
    public:
        void func() override { std::cout << ""Derived"" << std::endl; }
    };
}",cpp,1
Insecure Deserialization,"Certainly! Here is an example of Java code snippet demonstrating a vulnerability related to Insecure Deserialization:

```java
import java.io.*;

public class InsecureDeserializationExample {

    public static void main(String[] args) {
        String serializedData = ""rO0ABXNyAC5qYXZheC5tYWluLlN0cmluZ6NN8vY7AgAGSQAKaW52YWxpZF9uYW1lAAJbQkwACWludmFsaWRzdAASR2VuZXJhbFR5cGVzdAAQTGphdmEvdXRpbC9UeXBlO0wABG5hbWVxAH4AAUwABm91dHEAfgADTAALc2lnbmF0dXJlc3EAfgADeHBzcgA/a2Fub25fY29kZXEAfgAHRwACHQAJZGVzdGluYXRpb25xAH4ABHQAE3NjaGVtZV90aGFua3NvbnMAFGphdmEubGFuZy5OdW1iZXKGr","Certainly! Here is an example of Java code snippet demonstrating a vulnerability related to Insecure Deserialization: ```java import java.io.*; public class InsecureDeserializationExample { public static void main(String[] args) { String serializedData = ""rO0ABXNyAC5qYXZheC5tYWluLlN0cmluZ6NN8vY7AgAGSQAKaW52YWxpZF9uYW1lAAJbQkwACWludmFsaWRzdAASR2VuZXJhbFR5cGVzdAAQTGphdmEvdXRpbC9UeXBlO0wABG5hbWVxAH4AAUwABm91dHEAfgADTAALc2lnbmF0dXJlc3EAfgADeHBzcgA/a2Fub25fY29kZXEAfgAHRwACHQAJZGVzdGluYXRpb25xAH4ABHQAE3NjaGVtZV90aGFua3NvbnMAFGphdmEubGFuZy5OdW1iZXKGr",java,1
Path Traversal,"import os
def read_file(filename):
    with open('/var/www/uploads/' + filename, 'r') as f:
        return f.read()","import os
def read_file(filename):
    with open('/var/www/uploads/' + filename, 'r') as f:
        return f.read()",python,1
Buffer Overflow,"char buffer[10]; scanf(""%s"", buffer);","char buffer[10]; scanf(""%s"", buffer);",c,1
Cross-Site Scripting (XSS),"import java.io.IOException;
import javax.servlet.http.HttpServletRequest;
import javax.servlet.http.HttpServletResponse;

public class XSSVulnerableServlet extends HttpServlet {
    protected void doGet(HttpServletRequest request, HttpServletResponse response) throws IOException {
        String userInput = request.getParameter(""input"");
        String output = ""<p>User Input: "" + userInput + ""</p>"";
        
        response.setContentType(""text/html"");
        response.getWriter().write(output);
    }
}","import java.io.IOException; import javax.servlet.http.HttpServletRequest; import javax.servlet.http.HttpServletResponse; public class XSSVulnerableServlet extends HttpServlet { protected void doGet(HttpServletRequest request, HttpServletResponse response) throws IOException { String userInput = request.getParameter(""input""); String output = ""<p>User Input: "" + userInput + ""</p>""; response.setContentType(""text/html""); response.getWriter().write(output); } }",java,1
Clear,"import psycopg2
def safe_admin_query(admin_id):
    conn = psycopg2.connect(""dbname=test user=postgres"")
    cur = conn.cursor()
    cur.execute(""SELECT * FROM admins WHERE id = %s"", (admin_id,))
    return cur.fetchone()","import psycopg2
def safe_admin_query(admin_id):
    conn = psycopg2.connect(""dbname=test user=postgres"")
    cur = conn.cursor()
    cur.execute(""SELECT * FROM admins WHERE id = %s"", (admin_id,))
    return cur.fetchone()",python,0
Buffer Overflow,"char buffer[10]; scanf(""%s"", buffer);","char buffer[10]; scanf(""%s"", buffer);",c,1
XSS,"<?php
echo $_GET['message']; // XSS
?>","<?php
echo $_GET['message']; // XSS
?>",php,1
SSRF,"import requests
def fetch_url(url):
    return requests.get(url).text","import requests
def fetch_url(url):
    return requests.get(url).text",python,1
Path Traversal,"def get_user_file(username, filepath):
    import os
    base_path = f""/home/{username}/files/""
    full_path = base_path + filepath
    with open(full_path, 'r') as f:
        return f.read()","def get_user_file(username, filepath):
    import os
    base_path = f""/home/{username}/files/""
    full_path = base_path + filepath
    with open(full_path, 'r') as f:
        return f.read()",python,1
Clear,"const userInput = new URLSearchParams(window.location.search).get('input');
const safeOutput = document.createElement('div');
safeOutput.textContent = userInput; // Safe DOM manipulation
document.body.appendChild(safeOutput);
","const userInput = new URLSearchParams(window.location.search).get('input');
const safeOutput = document.createElement('div');
safeOutput.textContent = userInput; // Safe DOM manipulation
document.body.appendChild(safeOutput);
",javascript,0
Clear,"import java.util.Scanner;

public class SecureBuffer {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        
        System.out.print(""Enter a string: "");
        String userInput = scanner.nextLine();
        
        // Define buffer size and ensure user input does not exceed buffer size
        int bufferSize = 10;
        char[] buffer = new char[bufferSize];
        
        // Copy user input into buffer with bounds checking
        for (int i = 0; i < userInput.length() && i < bufferSize; i++) {
            buffer[i] = userInput.charAt(i);
        }
        
        System.out.println(""Buffer overflow vulnerability fixed!"");
    }
}","import java.util.Scanner; public class SecureBuffer { public static void main(String[] args) { Scanner scanner = new Scanner(System.in); System.out.print(""Enter a string: ""); String userInput = scanner.nextLine(); // Define buffer size and ensure user input does not exceed buffer size int bufferSize = 10; char[] buffer = new char[bufferSize]; // Copy user input into buffer with bounds checking for (int i = 0; i < userInput.length() && i < bufferSize; i++) { buffer[i] = userInput.charAt(i); } System.out.println(""Buffer overflow vulnerability fixed!""); } }",java,0
Command Injection,"import os
def ping_host(host):
    os.system(""ping -c 4 "" + host)","import os
def ping_host(host):
    os.system(""ping -c 4 "" + host)",python,1
Command Injection,"import os
def ping_host(host):
    os.system(""ping -c 4 "" + host)","import os
def ping_host(host):
    os.system(""ping -c 4 "" + host)",python,1
Path Traversal,"import java.io.File;
import java.io.FileInputStream;
import java.io.IOException;
import java.util.Scanner;

public class PathTraversalExample {
    public static void main(String[] args) throws IOException {
        Scanner scanner = new Scanner(System.in);
        System.out.print(""Enter file name: "");
        String fileName = scanner.next();

        File file = new File(""/path/to/directory/"" + fileName);

        if (file.exists()) {
            FileInputStream fis = new FileInputStream(file);
            int data;
            while ((data = fis.read()) != -1) {
                System.out.print((char) data);
            }
            fis.close();
        } else {
            System.out.println(""File not found."");
        }
    }
}","import java.io.File; import java.io.FileInputStream; import java.io.IOException; import java.util.Scanner; public class PathTraversalExample { public static void main(String[] args) throws IOException { Scanner scanner = new Scanner(System.in); System.out.print(""Enter file name: ""); String fileName = scanner.next(); File file = new File(""/path/to/directory/"" + fileName); if (file.exists()) { FileInputStream fis = new FileInputStream(file); int data; while ((data = fis.read()) != -1) { System.out.print((char) data); } fis.close(); } else { System.out.println(""File not found.""); } } }",java,1
Clear,"import org.owasp.encoder.Encode;

public class XSSFixedCode {
    public static void main(String[] args) {
        // Simulating user input
        String userInput = ""<script>alert('XSS Vulnerability!')</script>"";

        // Properly encode user input
        String encodedUserInput = Encode.forHtml(userInput);

        // Printing the output with encoded user input
        String output = ""Hello, "" + encodedUserInput;
        System.out.println(output);
    }
}","import org.owasp.encoder.Encode; public class XSSFixedCode { public static void main(String[] args) { // Simulating user input String userInput = ""<script>alert('XSS Vulnerability!')</script>""; // Properly encode user input String encodedUserInput = Encode.forHtml(userInput); // Printing the output with encoded user input String output = ""Hello, "" + encodedUserInput; System.out.println(output); } }",java,0
SQL Injection,"import java.sql.*;

public class SQLInjectionVulnerableApp {

    public static void main(String[] args) {
        try {
            String userInput = args[0]; // Assume user input is passed as a command line argument

            String url = ""jdbc:mysql://localhost:3306/mydatabase"";
            String username = ""root"";
            String password = ""password"";

            Connection conn = DriverManager.getConnection(url, username, password);

            Statement stmt = conn.createStatement();
            String query = ""SELECT * FROM users WHERE username='"" + userInput + ""'"";
            
            ResultSet rs = stmt.executeQuery(query);

            while (rs.next()) {
                System.out.println(""User ID: "" + rs.getInt(""id"") + "", Username: "" + rs.getString(""username""));
            }

        } catch (Exception e) {
            e.printStackTrace();
        }
    }
}","import java.sql.*; public class SQLInjectionVulnerableApp { public static void main(String[] args) { try { String userInput = args[0]; // Assume user input is passed as a command line argument String url = ""jdbc:mysql://localhost:3306/mydatabase""; String username = ""root""; String password = ""password""; Connection conn = DriverManager.getConnection(url, username, password); Statement stmt = conn.createStatement(); String query = ""SELECT * FROM users WHERE username='"" + userInput + ""'""; ResultSet rs = stmt.executeQuery(query); while (rs.next()) { System.out.println(""User ID: "" + rs.getInt(""id"") + "", Username: "" + rs.getString(""username"")); } } catch (Exception e) { e.printStackTrace(); } } }",java,1
Command Injection,"const shell = require('child_process');
shell.exec('ping ' + userInput); // Command Injection
","const shell = require('child_process');
shell.exec('ping ' + userInput); // Command Injection
",javascript,1
Insecure Deserialization,"import pickle
def load_user_data(filename):
    with open(filename, 'rb') as f:
        data = pickle.load(f)
    return data","import pickle
def load_user_data(filename):
    with open(filename, 'rb') as f:
        data = pickle.load(f)
    return data",python,1
Clear,"from django.http import HttpResponse
from django.utils.html import escape

def safe_user_profile(request, username):
    safe_username = escape(username)
    return HttpResponse(f""Welcome, {safe_username}!"")","from django.http import HttpResponse
from django.utils.html import escape

def safe_user_profile(request, username):
    safe_username = escape(username)
    return HttpResponse(f""Welcome, {safe_username}!"")",python,0
Buffer Overflow,"char buffer[10]; scanf(""%s"", buffer);","char buffer[10]; scanf(""%s"", buffer);",c,1
Cross-Site Scripting (XSS),"import java.io.*;
import javax.servlet.*;
import javax.servlet.http.*;

public class VulnerableServlet extends HttpServlet {
    protected void doGet(HttpServletRequest request, HttpServletResponse response) throws ServletException, IOException {
        String userInput = request.getParameter(""input"");
        
        // Improperly handling user input by directly outputting it without proper encoding
        response.getWriter().println(""<html><body>User input: "" + userInput + ""</body></html>"");
    }
}","import java.io.*; import javax.servlet.*; import javax.servlet.http.*; public class VulnerableServlet extends HttpServlet { protected void doGet(HttpServletRequest request, HttpServletResponse response) throws ServletException, IOException { String userInput = request.getParameter(""input""); // Improperly handling user input by directly outputting it without proper encoding response.getWriter().println(""<html><body>User input: "" + userInput + ""</body></html>""); } }",java,1
Clear,"import org.owasp.encoder.Encode;

public class XSSFixedCode {
    public static void main(String[] args) {
        // Simulating user input
        String userInput = ""<script>alert('XSS Vulnerability!')</script>"";

        // Properly encode user input before outputting it to the webpage
        String encodedUserInput = Encode.forHtml(userInput);
        
        System.out.println(""<div>"" + encodedUserInput + ""</div>"");
    }
}","import org.owasp.encoder.Encode; public class XSSFixedCode { public static void main(String[] args) { // Simulating user input String userInput = ""<script>alert('XSS Vulnerability!')</script>""; // Properly encode user input before outputting it to the webpage String encodedUserInput = Encode.forHtml(userInput); System.out.println(""<div>"" + encodedUserInput + ""</div>""); } }",java,0
Clear,"const shell = require('child_process');
const safeInput = userInput.replace(/[^a-zA-Z0-9.]/g, '');
shell.execFile('ping', [safeInput]); // Safe command execution
","const shell = require('child_process');
const safeInput = userInput.replace(/[^a-zA-Z0-9.]/g, '');
shell.execFile('ping', [safeInput]); // Safe command execution
",javascript,0
